,Ctrl.AS3.J1,Ctrl.AS3.J2,Ctrl.AS3.J3,Ctrl.AS3.J4,Ctrl.AS3.J5,Ctrl.BS.J1,Ctrl.BS.J2,Ctrl.BS.J3,Ctrl.BS.J4,Ctrl.BS.J5,Ctrl.P1.J1,Ctrl.P1.J2,Ctrl.P1.J3,Ctrl.P1.J4,Ctrl.P1.J5,DBP.AS1.J1,DBP.AS1.J2,DBP.AS1.J3,DBP.AS1.J4,DBP.AS1.J5,DBP.BS.J1,DBP.BS.J2,DBP.BS.J3,DBP.BS.J4,DBP.BS.J5,DBP.P1.J1,DBP.P1.J2,DBP.P1.J3,DBP.P1.J4,DBP.P1.J5,TBAC.AS3.J1,TBAC.AS3.J2,TBAC.AS3.J3,TBAC.AS3.J4,TBAC.AS3.J5,TBAC.BS.J1,TBAC.BS.J2,TBAC.BS.J3,TBAC.BS.J4,TBAC.BS.J5,TBAC.P3.J1,TBAC.P3.J2,TBAC.P3.J3,TBAC.P3.J4,TBAC.P3.J5,TEC.AS3.J1,TEC.AS3.J2,TEC.AS3.J3,TEC.AS3.J4,TEC.AS3.J5,TEC.BS.J1,TEC.BS.J2,TEC.BS.J3,TEC.BS.J4,TEC.BS.J5,TEC.P3.J1,TEC.P3.J2,TEC.P3.J3,TEC.P3.J4,TEC.P3.J5
Otu660,0,1,1,0,0,9,0,3,2,0,0,0,1,0,0,5,1,0,0,33,3,2,0,2,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0
Otu661,0,1,7,3,0,3,0,0,1,5,0,0,0,0,0,2,1,1,1,4,4,1,0,1,2,0,0,0,1,0,2,1,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,1,2,0,0,0,0,0,0
Otu662,3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,2,4,0,0,0,0,0,2,0,1,2,2,0,2,0,0,1,0,0,0,1,0,1,1,4,1,0,2,0,3,1,0,0,0,0,0,0,4,3,2,1,1
Otu663,0,0,0,0,0,0,0,0,0,0,0,0,6,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,12
Otu664,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,2,0,0,0,0,37,0,25,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0
Otu665,4,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,11,1,22,1,1,1,3,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,3,3,1,0,0,1,3,0,1,0,0,0
Otu666,3,0,6,4,5,0,0,0,0,0,0,0,0,2,0,0,0,1,4,6,0,0,0,0,1,0,0,0,0,0,6,0,3,0,9,0,0,9,0,1,0,0,1,0,2,0,0,4,9,14,0,0,1,0,0,0,0,0,1,1
Otu667,0,4,0,3,1,4,2,2,1,0,0,0,0,0,0,1,0,0,0,13,1,0,0,0,1,0,0,1,0,0,0,1,0,1,3,1,0,0,0,2,0,0,0,2,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0
Otu67,7,20,1,6,5,1,30,25,23,26,1,2,0,1,1,0,3,9,25,24,2,18,3,21,25,0,1,0,0,1,1,5,1,3,3,15,23,32,11,14,0,2,0,0,1,2,4,1,14,9,35,21,20,10,21,0,0,1,2,2
Otu670,0,0,0,0,0,0,0,0,0,0,4,1,0,4,4,0,0,7,0,0,0,0,0,0,0,58,0,25,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,8,0,22,0
Otu671,0,1,2,4,0,0,0,0,0,0,0,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,3,0,2,6,0,0,10,5,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu672,5,4,11,5,3,0,0,0,7,0,0,0,0,0,0,5,2,9,1,11,2,0,2,3,1,0,0,0,0,0,4,4,5,3,19,2,3,5,3,1,0,0,1,0,1,22,8,3,13,8,3,2,4,5,0,0,0,3,0,0
Otu673,0,2,1,1,1,0,3,0,2,0,0,0,0,0,0,2,0,0,0,20,5,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,2,1,1,0,1,0,0,0,0,0,0,0
Otu674,0,0,0,0,0,0,0,0,0,0,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,32,0,29,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0
Otu675,0,2,2,0,0,0,1,1,1,0,0,0,2,0,0,0,1,7,0,1,0,3,0,0,2,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,1,0,2,0,1,1,2,0,0,1,0
Otu676,1,3,0,3,2,2,1,4,0,0,0,2,0,0,0,2,2,2,1,18,4,1,0,2,5,1,0,4,0,0,1,3,1,1,2,0,5,0,4,0,0,2,0,1,2,8,0,2,2,0,3,1,1,1,0,0,0,1,0,0
Otu677,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu678,0,0,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,7,0,1,0,16,2,1,1,0,9,1,0,0,0,3,1,2,0,8,0,0,1,2,4,0,1,0,9,0,0
